% de Aprobación,20%,33%,64%,61%,31%,30%,55%,53%,46%,39%,33%,38%,36%,36%,34%,59%,53%,47%,39%,27%,34%,38%,42%,28%,33%,45%,48%,57%,46%,43%,38%,41%,38%,45%,,
% de Formalizacion ,100%,50%,71%,79%,38%,46%,57%,47%,27%,45%,56%,44%,63%,44%,65%,49%,48%,54%,51%,48%,58%,49%,49%,45%,57%,46%,44%,38%,43%,37%,33%,49%,52%,45%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N.º de solicitudes ingresadas por financiera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Score bajo,,,,,,,,,,,,,,,,,3,3,5,12,8,6,4,7,5,3,10,4,10,4,,66,,,,
Capacidad de pago ,,,,,,,,,,,,,,,,,,2,,,1,5,4,,0,2,3,,6,6,,17,,,,
Otros,,,,,,,,,,,,,,,,,,1,1,,,,2,,0,1,2,,1,1,,7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motivos de SDC No formaliadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Enero, 24","Febrero, 24","Marzo, 24","Abril, 24","Mayo, 24","Junio, 24","Julio, 24","Agosto, 24","Septiembre, 24","Octubre, 24","Noviembre, 24","Diciembre, 25","Enero, 25","Febrero, 25","Marzo, 25","Abril, 25","Mayo, 25","Junio, 25","Julio, 25","Agosto, 25","Septiembre, 25","Octubre, 25","Noviembre, 25","Diciembre, 25","Enero, 26","Febrero, 26","Marzo, 26","Abril, 26","Mayo,26","Junio, 26","Julio,26",Total,,,,
Compra en otro lado,,,,,,,,,,,,,,,,,4,5,3,5,5,10,6,0,4,1,1,2,2,2,,44,,,,
Falta importe para enganche,,,,,,,,,,,,,,,,,,,,,1,2,2,1,0,0,0,3,1,2,,6,,,,
Espera comprar en futuro,,,,,,,,,,,,,,,,,4,1,1,,1,8,4,3,9,6,4,10,1,7,,41,,,,
Otros,,,,,,,,,,,,,,,,,3,4,6,,4,5,0,3,0,5,11,3,9,5,,41,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
