Indicador,"Enero, 24","Febrero, 24","Marzo, 24","Abril, 24","Mayo, 24","Junio, 24","Julio, 24","Agosto, 24","Septiembre, 24","Octubre, 24","Noviembre, 24","Diciembre, 25","Enero, 25","Febrero, 25","Marzo, 25","Abril, 25","Mayo, 25","Junio, 25","Julio, 25","Agosto, 25","Septiembre, 25","Octubre, 25","Noviembre, 25","Diciembre, 25.1","Enero, 26","Febrero, 26","Marzo, 26","Abril, 26","Mayo,26","Junio, 26","Julio,26",Total 2024,Total 2025,Total 2026,Unnamed: 35,Unnamed: 36
Mal Buro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17,27,31,40,54,26,27,33,19,15,12,12,22,0,311,,,,
Score bajo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,12,8,6,4,7,5,3,10,4,10,4,0,66,,,,
Capacidad de pago ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5,4,0,0,2,3,0,6,6,0,17,,,,
