INDICADORES GENERALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025,,,,,,,,,,,,2026 /certificación de marca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mes,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mes,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objetivo Ideal,7.0%,7.0%,7.0%,7.0%,7.0%,7.0%,7.0%,7.0%,7.0%,7.0%,7.0%,7.0%,7.0%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real,10%,3%,21%,0%,3%,9%,6%,6%,3%,3.0%,3.0%,7.0%,8%,0,0,5%,5%,5%,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumplimiento ,68%,203%,34%,#DIV/0!,217%,78%,116%,117%,233%,233%,233%,100%,88%,105%,105%,100%,105%,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRODUCTIVIDAD DE APVS,,,,,,,,,,,,,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mes,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objetivo Mínimo,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,75%,75%,75%,80%,80%,80%,80%,80%,80%,80%,80%,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objetivo Ideal,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,80%,80%,80%,85%,85%,85%,85%,85%,85%,85%,85%,85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real,61%,42%,86%,90%,91%,95%,78%,54%,87%,76%,81%,60%,66%,70%,71%,74%,82%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumplimiento ,72%,49%,101%,106%,107%,112%,92%,64%,102%,89%,95%,71%,83%,88%,89%,87%,96%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APVS QUE CUMPLIERON SU META,,,,,,,,,,,,,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mes,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total de apvs,5,6,8,9,11,14,14,13,12,15,15,14,11,15,15,14,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apvs que cumplieron,2,2,3,4,5,12,6,2,7,6,7,4,7,7,7,7,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% de Cumplimiento ,40%,33%,38%,44%,45%,86%,43%,15%,58%,40%,47%,29%,64%,47%,47%,50%,33%,36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUDITORIA SALES FORCE,,,,,,,,,,,,,AUDITORÍA SALES FORCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
